chain_names,source_path,source_owner,target_path,target_owner,specifier,detection_kinds,source_kind,target_kind,runtime_reachable,source_runtime_boundary,target_runtime_boundary,evidence
customer_followup|shared_types_services,src/modules/auth/server/auth-account-repository.ts,auth,src/modules/institution-contracts/v1/institution-navigation.ts,institution-contracts,@/modules/institution-contracts/v1/institution-navigation,static_import_or_export,production,production,yes,yes,no,src/modules/auth/server/auth-account-repository.ts -> @/modules/institution-contracts/v1/institution-navigation
shared_types_services,src/modules/auth/server/auth-account-repository.ts,auth,src/modules/security/domain/institution-access.ts,security,@/modules/security/domain/institution-access,static_import_or_export,production,production,yes,yes,no,src/modules/auth/server/auth-account-repository.ts -> @/modules/security/domain/institution-access
shared_types_services,src/modules/auth/server/auth-account-repository.ts,auth,src/server/db/client.ts,__src_server__,@/server/db/client,static_import_or_export,production,production,yes,yes,yes,src/modules/auth/server/auth-account-repository.ts -> @/server/db/client
shared_types_services,src/modules/auth/server/formal-server-session-provenance-owner.ts,auth,src/modules/security/domain/institution-access.ts,security,@/modules/security/domain/institution-access,static_import_or_export,production,production,yes,yes,no,src/modules/auth/server/formal-server-session-provenance-owner.ts -> @/modules/security/domain/institution-access
shared_types_services,src/modules/auth/server/formal-server-session-provenance-owner.ts,auth,src/modules/security/server/institution-guard-reference.ts,security,@/modules/security/server/institution-guard-reference,static_import_or_export,production,production,yes,yes,yes,src/modules/auth/server/formal-server-session-provenance-owner.ts -> @/modules/security/server/institution-guard-reference
shared_types_services,src/modules/auth/tests/AuthAccountRepository.test.ts,auth,src/server/db/client.ts,__src_server__,@/server/db/client,static_import_or_export,test,production,no,yes,yes,src/modules/auth/tests/AuthAccountRepository.test.ts -> @/server/db/client
shared_types_services,src/modules/auth/tests/AuthAccountService.test.ts,auth,src/modules/security/domain/access-control.ts,security,@/modules/security/domain/access-control,static_import_or_export,test,production,no,yes,no,src/modules/auth/tests/AuthAccountService.test.ts -> @/modules/security/domain/access-control
shared_types_services,src/modules/auth/tests/DemoAuthRoutes.test.ts,auth,src/app/api/auth/login/route.ts,__src_app__,@/app/api/auth/login/route,static_import_or_export,test,production,no,no,yes,src/modules/auth/tests/DemoAuthRoutes.test.ts -> @/app/api/auth/login/route
shared_types_services,src/modules/auth/tests/DemoAuthRoutes.test.ts,auth,src/app/api/auth/logout/route.ts,__src_app__,@/app/api/auth/logout/route,static_import_or_export,test,production,no,no,yes,src/modules/auth/tests/DemoAuthRoutes.test.ts -> @/app/api/auth/logout/route
shared_types_services,src/modules/auth/tests/DemoAuthRoutes.test.ts,auth,src/app/api/auth/session/route.ts,__src_app__,@/app/api/auth/session/route,static_import_or_export,test,production,no,no,yes,src/modules/auth/tests/DemoAuthRoutes.test.ts -> @/app/api/auth/session/route
shared_types_services,src/modules/auth/tests/FormalAuthRoutes.test.ts,auth,src/app/api/auth/login/route.ts,__src_app__,@/app/api/auth/login/route,literal_dynamic_or_require,test,production,no,yes,yes,src/modules/auth/tests/FormalAuthRoutes.test.ts -> @/app/api/auth/login/route
shared_types_services,src/modules/auth/tests/FormalAuthRoutes.test.ts,auth,src/app/api/auth/logout/route.ts,__src_app__,@/app/api/auth/logout/route,literal_dynamic_or_require,test,production,no,yes,yes,src/modules/auth/tests/FormalAuthRoutes.test.ts -> @/app/api/auth/logout/route
shared_types_services,src/modules/auth/tests/FormalAuthRoutes.test.ts,auth,src/app/api/auth/session/route.ts,__src_app__,@/app/api/auth/session/route,literal_dynamic_or_require,test,production,no,yes,yes,src/modules/auth/tests/FormalAuthRoutes.test.ts -> @/app/api/auth/session/route
shared_types_services,src/modules/auth/tests/FormalAuthRoutes.test.ts,auth,src/modules/audit/server/audit-event-repository.ts,audit,@/modules/audit/server/audit-event-repository,literal_dynamic_or_require|test_mock,test,production,no,yes,yes,src/modules/auth/tests/FormalAuthRoutes.test.ts -> @/modules/audit/server/audit-event-repository
shared_types_services,src/modules/auth/tests/FormalAuthRoutes.test.ts,auth,src/modules/security/server/institution-guard-runtime-config.ts,security,@/modules/security/server/institution-guard-runtime-config,literal_dynamic_or_require|test_mock,test,production,no,yes,yes,src/modules/auth/tests/FormalAuthRoutes.test.ts -> @/modules/security/server/institution-guard-runtime-config
shared_types_services,src/modules/auth/tests/FormalAuthRoutes.test.ts,auth,src/server/db/client.ts,__src_server__,@/server/db/client,literal_dynamic_or_require|test_mock,test,production,no,yes,yes,src/modules/auth/tests/FormalAuthRoutes.test.ts -> @/server/db/client
