file_path,role,owner,loc,type_only_file,import_count,runtime_import_count,internal_outbound_count,institution_outbound_count,cross_module_outbound_count,inbound_consumer_count,test_consumer_count,cross_module_inbound_count,reverse_dependency_count,cycle_member,cycle_id,runtime_boundary_tokens,stable_entry_suggestion,phase23_eligible,phase23_block_reason
src/modules/institution/components/InstitutionAiServiceUsageShell.tsx,component,entitlement,464,no,6,6,4,3,1,2,1,1,0,no,,react,src/modules/institution/entitlement/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/InstitutionAuditEventsShell.tsx,component,audit,558,no,7,7,5,2,3,2,1,1,0,no,,react,src/modules/institution/audit/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/InstitutionCapabilityOffPage.tsx,component,shared,182,no,4,4,3,1,2,2,1,1,0,no,,,src/modules/institution/shared/index.ts,no,not_plain_ts；not_domain_or_contract；cross_module_outbound
src/modules/institution/components/InstitutionKnowledgeBaseCardPanel.tsx,component,knowledge,1587,no,5,4,3,2,1,2,1,0,0,no,,network；react；browser_runtime,src/modules/institution/knowledge/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/InstitutionKnowledgeReadonlyShell.tsx,component,knowledge,2334,no,8,7,6,4,2,2,1,1,0,no,,network；react；browser_runtime,src/modules/institution/knowledge/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/InstitutionNavigationShell.tsx,component,shared,341,no,5,5,2,0,2,3,1,2,0,no,,react；browser_runtime,src/modules/institution/shared/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/InstitutionPageState.tsx,component,shared,162,no,5,2,2,1,1,14,1,2,0,no,,react,src/modules/institution/shared/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound；too_many_consumers
src/modules/institution/components/InstitutionSectionHeader.tsx,component,shared,48,no,2,1,1,0,1,9,1,0,0,no,,react,src/modules/institution/shared/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/OpportunityPoolShell.tsx,component,opportunity,28,no,0,0,0,0,0,2,1,1,0,no,,react,src/modules/institution/opportunity/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/SmartFollowUpShell.tsx,component,followup,1472,no,15,10,13,13,0,4,3,1,0,no,,react,src/modules/institution/followup/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/TreatmentSummaryManagementShell.tsx,component,treatment,1563,no,10,8,8,7,1,2,1,1,0,no,,environment；react,src/modules/institution/treatment/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token；cross_module_outbound
src/modules/institution/components/TrustedReachOutSafetyPanel.tsx,component,shared,92,no,3,2,2,2,0,2,1,0,0,no,,network；react,src/modules/institution/shared/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/WeComCustomerMappingCandidatesReadonlyPanel.tsx,component,wecom,681,no,5,4,3,3,0,2,1,1,0,no,,network；react,src/modules/institution/wecom/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/WeComCustomerMappingPanel.tsx,component,wecom,265,no,5,4,3,3,0,2,1,0,0,no,,network；react,src/modules/institution/wecom/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/components/WeComExternalContactReadonlyPanel.tsx,component,wecom,463,no,5,4,3,3,0,2,1,1,0,no,,network；react,src/modules/institution/wecom/index.ts,no,not_plain_ts；not_domain_or_contract；runtime_boundary_token
src/modules/institution/domain/ai-auto-strategy.ts,domain,ai,594,no,3,1,3,1,2,4,1,0,0,yes,cycle-002,environment；external_channel,src/modules/institution/domain/ai/index.ts,no,runtime_boundary_token；cycle_member；cross_module_outbound
src/modules/institution/domain/ai-conversation-workbench.ts,domain,ai,1383,no,7,6,7,6,1,4,1,0,0,yes,cycle-002,environment；network；external_channel,src/modules/institution/domain/ai/index.ts,no,runtime_boundary_token；cycle_member；cross_module_outbound
src/modules/institution/domain/ai-credits-metering.ts,domain,ai,277,no,0,0,0,0,0,5,2,0,0,no,,,src/modules/institution/domain/ai/index.ts,yes,
src/modules/institution/domain/appointment-records.ts,domain,appointment,53,no,2,1,2,0,2,13,5,3,0,no,,,src/modules/institution/domain/appointment/index.ts,no,cross_module_outbound；too_many_consumers
src/modules/institution/domain/appointments.ts,domain,appointment,24,no,0,0,0,0,0,1,1,0,0,no,,,src/modules/institution/domain/appointment/index.ts,yes,
src/modules/institution/domain/customer-import.ts,domain,customer,31,no,1,0,1,1,0,4,1,0,0,no,,,src/modules/institution/domain/customer/index.ts,yes,
src/modules/institution/domain/customer-records.ts,domain,customer,104,no,2,1,2,0,2,25,10,3,0,no,,,src/modules/institution/domain/customer/index.ts,no,cross_module_outbound；too_many_consumers
